Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
7/14/08,269.76978,270.30029,257.98297,261.07108,8840750,0,0
7/15/08,258.39841,264.01401,250.80080,258.30331,12129858,0,0
7/16/08,257.27728,268.51852,255.55556,268.06805,9474916,0,0
7/17/08,267.34735,268.79379,262.51251,266.98700,17557225,0,0
7/18/08,249.42442,249.73975,239.33434,240.90089,22562215,0,0
7/21/08,240.68068,242.28729,233.08308,234.63463,11791197,0,0
7/22/08,233.59360,240.36537,233.03304,238.79379,9373617,0,0
7/23/08,241.04605,248.86386,239.28929,244.85486,9778412,0,0
7/24/08,248.59860,248.68369,238.04805,238.04805,7074718,0,0
7/25/08,243.48849,246.81181,240.99100,246.23624,6360633,0,0
7/28/08,246.29129,246.29129,237.80280,238.79880,6313680,0,0
7/29/08,239.88989,243.87387,239.23924,241.79680,5599994,0,0
7/30/08,242.99300,243.25325,236.64165,241.59160,6974419,0,0
7/31/08,237.51752,240.68568,235.95596,237.11211,5724470,0,0
8/1/08,236.49149,236.84685,231.48148,234.16417,6009784,0,0
8/4/08,234.29430,236.74174,231.18118,231.73174,4969026,0,0
8/5/08,234.02902,240.28027,233.39839,240.16516,7161831,0,0
8/6/08,239.42442,245.13013,236.49149,243.41341,6744848,0,0
8/7/08,241.24124,242.24225,238.44344,239.79980,5542052,0,0
8/8/08,240.31531,248.12312,238.08308,247.75275,7471121,0,0
8/11/08,246.48148,254.69470,246.13614,250.67067,8470121,0,0
8/12/08,251.25125,253.31831,249.24925,251.55656,5505889,0,0
8/13/08,251.05106,252.02202,247.18718,250.26526,7243749,0,0
8/14/08,249.09911,254.05905,248.39339,252.99800,5831363,0,0
8/15/08,253.74875,255.58559,253.00301,255.33034,7084309,0,0
8/18/08,255.17517,255.25525,248.00301,249.39940,6661132,0,0
8/19/08,245.46046,249.38939,243.55856,245.49550,6086907,0,0
8/20/08,247.60760,248.59360,241.52652,242.74274,7956236,0,0
8/21/08,241.70171,245.19519,239.87488,243.50851,7021172,0,0
8/22/08,245.99600,247.68768,244.98499,245.54054,4589806,0,0
8/25/08,243.29829,248.74875,240.99100,241.74675,4024571,0,0
8/26/08,241.97197,241.97197,235.53053,237.31732,6609784,0,0
8/27/08,237.10210,237.65265,232.65265,234.52452,8765426,0,0
8/28/08,236.48148,238.46347,235.40041,237.12712,6053341,0,0
8/29/08,235.11011,235.74074,231.39639,231.87688,7688704,0,0
9/2/08,238.62363,241.33133,230.94095,232.85786,12210777,0,0
9/3/08,234.59959,237.38239,230.02002,232.43744,8620571,0,0
9/4/08,230.23022,231.85185,224.92493,225.35536,9687303,0,0
9/5/08,222.96797,226.45645,220.26025,222.34735,9059531,0,0
9/8/08,226.23624,226.69670,208.98398,210.18518,18017764,0,0
9/9/08,211.79680,216.40640,207.70770,209.53954,14444741,0,0
9/10/08,212.44745,212.45245,205.04504,207.28729,12441146,0,0
9/11/08,204.37938,217.76276,203.39339,217.09209,12929857,0,0
9/12/08,215.32031,221.21622,214.71472,219.04904,12043944,0,0
9/15/08,212.21222,221.20621,212.06706,217.14714,13121665,0,0
9/16/08,213.19319,224.86487,212.95796,221.68669,13967419,0,0
9/17/08,219.45946,219.78979,206.92693,207.45245,18235546,0,0
9/18/08,211.53152,219.80981,205.45546,219.75977,17161621,0,0
9/19/08,230.73073,231.26627,221.86186,224.79980,19991988,0,0
9/22/08,227.29230,227.29230,214.71472,215.28528,8805785,0,0
9/23/08,216.84184,220.61562,213.07307,214.84985,10397992,0,0
9/24/08,215.38539,222.72272,215.27026,217.77277,8475516,0,0
9/25/08,219.63963,225.22522,218.20821,220.02002,10030559,0,0
9/26/08,214.21422,218.79880,210.72572,215.73573,10574415,0,0
9/29/08,209.96497,211.96696,190.54555,190.69069,21504274,0,0
9/30/08,198.18819,212.75275,196.35635,200.46046,6166427,0,0
10/1/08,205.78078,208.69870,201.75175,206.06607,12457130,0,0
10/2/08,205.10010,205.19519,193.19319,195.44044,11957830,0,0
10/3/08,198.87387,206.45645,191.72673,193.64865,15969814,0,0
10/6/08,187.17717,188.18318,178.75876,185.79079,22418759,0,0
10/7/08,186.85185,187.67767,172.85786,173.17818,22086691,0,0
10/8/08,165.24524,179.67468,163.21822,169.22423,23629147,0,0
10/9/08,172.43243,174.45946,160.99600,164.65465,16133850,0,0
10/10/08,156.73674,171.11612,155.30530,166.16617,21174404,0,0
10/13/08,178.07307,191.16617,173.04805,190.70070,17793189,0,0
10/14/08,196.96196,197.44745,178.67868,181.53653,15554030,0,0
10/15/08,177.50250,179.67969,169.58458,169.75476,13429357,0,0
10/16/08,166.54655,178.42842,154.87488,176.68669,32446921,0,0
10/17/08,189.66966,193.19319,181.95695,186.45645,28469902,0,0
10/20/08,190.06506,190.68068,179.97498,189.84985,13493293,0,0
10/21/08,186.38138,192.08208,181.18118,181.55656,11552436,0,0
